build,computer.platform,date,time,subject,group,trial,amplitude,pulsewidth,response,runningmean
3.8.10,Windows,93022,10:6:3,01,999,1,0.3,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,2,0.5,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,3,0.7,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,4,0.9,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,5,1.1,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,6,1.3,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,7,1.0,200,2,0
3.8.10,Windows,93022,10:6:3,01,999,8,1.1,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,9,1.2,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,10,1.3,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,11,1.0,200,2,0
3.8.10,Windows,93022,10:6:3,01,999,12,1.1,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,13,1.2,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,14,1.3,200,1,0
3.8.10,Windows,93022,10:6:3,01,999,15,1.0,200,2,1.1199999999999999
3.8.10,Windows,93022,10:6:3,01,999,16,1.1,200,1,1.1166666666666665
3.8.10,Windows,93022,10:6:3,01,999,17,1.2,200,1,1.1285714285714286
3.8.10,Windows,93022,10:6:3,01,999,18,1.3,200,1,1.15
3.8.10,Windows,93022,10:6:3,01,999,19,1.4,200,1,1.1777777777777778
3.8.10,Windows,93022,10:6:3,01,999,20,1.1,200,2,1.17
3.8.10,Windows,93022,10:6:3,01,999,21,1.2,200,1,1.1727272727272726
3.8.10,Windows,93022,10:6:3,01,999,22,1.3,200,1,1.1833333333333333
3.8.10,Windows,93022,10:6:3,01,999,23,1.4,200,1,1.2
3.8.10,Windows,93022,10:6:3,01,999,24,1.5,200,1,1.2214285714285715
3.8.10,Windows,93022,10:6:3,01,999,25,1.2,200,2,1.22
3.8.10,Windows,93022,10:6:3,01,999,26,1.3,200,1,1.225
3.8.10,Windows,93022,10:6:3,01,999,27,1.4,200,1,1.2352941176470589
3.8.10,Windows,93022,10:6:3,01,999,28,1.5,200,1,1.25
3.8.10,Windows,93022,10:6:3,01,999,29,1.6,200,1,1.2684210526315791
3.8.10,Windows,93022,10:6:3,01,999,30,1.3,200,2,1.27
3.8.10,Windows,93022,10:6:3,01,999,31,1.4,200,1,1.2761904761904763
3.8.10,Windows,93022,10:6:3,01,999,32,1.5,200,1,1.2863636363636364
3.8.10,Windows,93022,10:6:3,01,999,33,1.6,200,1,1.3
3.8.10,Windows,93022,10:6:3,01,999,34,1.7,200,1,1.3166666666666667
3.8.10,Windows,93022,10:6:3,01,999,35,1.4,200,2,1.32
3.8.10,Windows,93022,10:6:3,01,999,36,1.5,200,1,1.3269230769230769
3.8.10,Windows,93022,10:6:3,01,999,37,1.6,200,1,1.337037037037037
3.8.10,Windows,93022,10:6:3,01,999,38,1.7,200,1,1.35
3.8.10,Windows,93022,10:6:3,01,999,39,1.8,200,1,1.3655172413793104
3.8.10,Windows,93022,10:6:3,01,999,40,1.9,200,1,1.3833333333333333
3.8.10,Windows,93022,10:6:3,01,999,41,1.6,200,2,1.3903225806451613
